no birthday on article	2007-04-17T00:00:00	Lady Macbeth	Derbhle Crotty	Conall Morrison	Royal Shakespeare Company	Swan Theatre, Stratford-upon-Avon	unknown	none	flagged	
no birthday on article	2012-07-05T00:00:00	Lady Macbeth	Ann Noble	Jessica Kubzansky	Antaeus Theatre Company	Antaeus Theatre Company	unknown	none	flagged	
not a date	1957-01-01T00:00:00	Lady Macbeth	Eileen Kennally	Joan Littlewood	Theatre Workshop	Theatre Royal, Stratford East	unknown	none	flagged	
no birthday on article	2004-06-04T00:00:00	Lady Macbeth	Lucy Peacock	JOHN WOOD	Stratford Festival	Festival Theatre (Canada)	unknown	none	flagged	
1946-11-13T00:00:00	2006-09-09T00:00:00	Lady Macbeth	Eleanor Montgomery	Gareth Machin	Creation Theatre Company	Headington Hill Park Oxford	female	none	flagged	
1881-04-11T00:00:00	1936-04-09T00:00:00	Lady Macbeth	Edna Thomas	director unknown	Negro Theatre Unit of the Federal Theatre Project of the WPA and John Houseman	Lafayette Theatre	female	none	flagged	
no birthday on article	1995-09-12T00:00:00	Lady Macbeth	Helen Carey	Joe Dowling	Shakespeare Theatre Company	Lansburgh Theatre	unknown	none	flagged	
no birthday on article	1985-01-01T00:00:00	Messenger to Lady Macbeth	Mark Long	The People Show	The People Show	Leicester Haymarket	unknown	none	flagged	
1843-08-16T00:00:00	1921-04-19T00:00:00	Lady Macbeth	Mary Hall	Walter Hampden	Walter Hampden	Broadhurst Theatre	unknown	none	flagged	
1957-01-01T00:00:00	1971-06-09T00:00:00	Lady Macbeth	Pat Galloway	Peter Gill	Stratford Festival	Festival Theatre (Canada)	unknown	none	flagged	
no birthday on article	1969-12-21T00:00:00	Lady Macbeth	Elizabeth Owens	Bill Accles	Roundabout Theatre Company	Roundabout Stage II	unknown	none	flagged	
1864-02-26T00:00:00	1896-04-22T00:00:00	Lady Macbeth	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
no birthday on article	1987-10-06T00:00:00	Lady Macbeth	Noreen Kershaw	Chris Bond	Half Moon Theatre	Half Moon Theatre, London	female	none	yes	
1963-07-11T00:00:00	2007-02-23T00:00:00	Lady Macbeth	Michelle Fairley	Ian Brown	West Yorkshire Playhouse	West Yorkshire Playhouse, Leeds	female	none	yes	
1950-09-24T00:00:00	2001-01-01T00:00:00	Lady Macbeth	Harriet Walter	Gregory Doran	Royal Shakespeare Company	Filmed for television	female	none	yes	
1949-05-22T00:00:00	1994-05-02T00:00:00	Lady Macbeth	Cheryl Campbell	Adrian Noble	Royal Shakespeare Company	Tour	female	none	yes	
1971-07-31T00:00:00	2001-01-01T00:00:00	Lady Macbeth	Eve Best	Tim Carroll	Shakespeare's Globe	Shakespeare's Globe	female	none	yes	
1950-04-17T00:00:00	1997-02-20T00:00:00	Lady Macbeth	L. Scott Caldwell	Tony Taccone	Berkeley Repertory Theatre	Berkeley Repertory Theatre	female	Black	yes	
1965-11-28T00:00:00	2010-03-18T00:00:00	Lady Macbeth	Anastasia Hille	Declan Donnellan	Cheek By Jowl	Silk Street Theatre, Barbican Centre	female	none	yes	
no birthday on article	2010-01-01T00:00:00	Lady Macbeth	Claire Cox	Bill Buckhurst	Shakespeare's Globe	Shakespeare's Globe	female	none	yes	
1963-01-01T00:00:00	1988-05-04T00:00:00	Lady Macbeth	Amanda Root	Adrian Noble	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	
1916-06-23T00:00:00	1962-06-05T00:00:00	Lady Macbeth	Irene Worth	Donald McWhinnie	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	
1979-03-10T00:00:00	2010-01-01T00:00:00	Lady Macbeth	Laura Rogers	Lucy Bailey	Shakespeare's Globe	Shakespeare's Globe	female	none	yes	
1929-07-22T00:00:00	1967-08-16T00:00:00	Lady Macbeth	Vivien Merchant	Peter Hall	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	
1906-01-16T00:00:00	1949-11-07T00:00:00	Lady Macbeth	Diana Wynyard	Anthony Quayle	Royal Shakespeare Company	Tour	female	none	yes	
1864-02-26T00:00:00	1899-04-19T00:00:00	Lady Macbeth	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1953-09-20T00:00:00	2004-11-09T00:00:00	Lady Macbeth	Sian Thomas	Dominic Cooke	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	female	none	yes	
1904-01-20T00:00:00	1929-07-03T00:00:00	Lady Macbeth	Fabia Drake	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1882-10-24T00:00:00	1916-08-12T00:00:00	Lady Macbeth	Sybil Thorndike	Ben Greet	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1920-10-15T00:00:00	1944-04-11T00:00:00	Lady Macbeth	Patricia Jessel	Robert Atkins	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1876-04-24T00:00:00	1911-04-27T00:00:00	Lady Macbeth	Hutin Britton	director unknown	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1957-06-23T00:00:00	2016-02-19T00:00:00	Lady Macbeth	Frances Mcdormand	Daniel Sullivan	Berkeley Repertory Theatre	Berkeley Repertory Theatre	female	none	yes	
no birthday on article	1955-06-07T00:00:00	Lady Macbeth	Vivien Leigh	Glen Byam Shaw	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1882-10-13T00:00:00	1920-08-04T00:00:00	Lady Macbeth	Ethel Warwick	William Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1963-04-03T00:00:00	2007-01-01T00:00:00	Lady Macbeth	Sarah Woodward	Edward Kemp	The New Shakespeare Company	Open Air Theatre Regent’s Park London	female	none	yes	
1942-12-03T00:00:00	1992-01-01T00:00:00	Lady Macbeth	Lynn Farleigh	Michael Bogdanov	unknown production company	The Royalty Theatre, London	female	none	yes	
1902-11-10T00:00:00	1946-06-21T00:00:00	Lady Macbeth	Valerie Taylor	Michael Macowan	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1953-01-01T00:00:00	1996-11-06T00:00:00	Lady Macbeth	Brid Brennan	Tim Albery	Royal Shakespeare Company	Barbican Theatre, London	female	none	yes	
1912-02-13T00:00:00	1942-04-14T00:00:00	Lady Macbeth	Margaretta Scott	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1903-07-01T00:00:00	1958-01-01T00:00:00	Lady Macbeth	Beatrix Lehmann	Douglas Seale	unknown production company	Old Vic, London	female	none	yes	
1904-01-20T00:00:00	1933-04-18T00:00:00	Lady Macbeth	Fabia Drake	Theodore Komisarjevsky	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1965-11-28T00:00:00	1993-01-01T00:00:00	Lady Macbeth	Anastasia Hille	Richard Eyre	National Theatre	Olivier Theatre, National Theatre	female	none	yes	
1904-01-20T00:00:00	1929-07-03T00:00:00	Lady Macbeth	Fabia Drake	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1890-01-05T00:00:00	1928-03-03T00:00:00	Lady Macbeth	Mary Merrall	H K Ayliff	unknown production company	Royal Court, London	female	none	yes	
1964-01-18T00:00:00	1995-01-01T00:00:00	Lady Macbeth	Jane Horrocks	Mark Rylance	unknown production company	Greenwich Theatre, London	female	none	yes	
not a date	1998-01-01T00:00:00	Lady Macbeth	Sally Dexter	John Crowley	unknown production company	Theatre Royal, Bath	female	none	yes	
1954-04-28T00:00:00	1982-12-01T00:00:00	Lady Macbeth	Mary Jo Randle	director unknown	unknown production company	New Vic Theatre, Newcastle under Lyme	female	none	yes	
1940-01-01T00:00:00	1980-04-11T00:00:00	Lady Macbeth	Kika Markham	Mark Cullingham	Thorndike Theatre	Thorndike Theatre, Leatherhead	female	none	yes	
1882-10-24T00:00:00	1926-12-24T00:00:00	Lady Macbeth	Sybil Thorndike	Lewis Casson	unknown production company	Prince’s Theatre, London	female	none	yes	
1952-12-11T00:00:00	1990-05-28T00:00:00	Lady Macbeth	Goldie Semple	Robert Beard	Stratford Festival	Festival Theatre (Canada)	female	none	yes	
1957-05-13T00:00:00	1988-12-17T00:00:00	Lady Macbeth/Witch	Frances Barber	Braham Murray	Royal Exchange Theatre	Royal Exchange Theatre, Manchester	female	none	yes	
1864-02-26T00:00:00	1910-07-28T00:00:00	Lady Macbeth	Constance Benson	F R Benson	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1922-02-26T00:00:00	1952-06-10T00:00:00	Lady Macbeth	Margaret Leighton	John Gielgud	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1938-07-20T00:00:00	1972-11-07T00:00:00	Lady Macbeth	Diana Rigg	Michael Blakemore	National Theatre	Old Vic, London	female	none	yes	
1882-10-13T00:00:00	1920-08-04T00:00:00	Lady Macbeth	Ethel Warwick	W Bridges-Adams	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1946-01-01T00:00:00	1987-01-01T00:00:00	Lady Macbeth	Dearbhla Molloy	Andy Hinds	unknown production company	Bristol Old Vic	female	none	yes	
1930-04-08T00:00:00	1978-05-27T00:00:00	Lady Macbeth	Dorothy Tutin	Peter Hall	National Theatre	Olivier Theatre, National Theatre	female	none	yes	
1983-07-12T00:00:00	2016-05-30T00:00:00	Lady Macbeth	Krystin Pellerin	Antoni Cimolino	Stratford Festival	Festival Theatre (Canada)	female	none	yes	
1941-06-17T00:00:00	1983-06-05T00:00:00	Lady Macbeth	Roberta Maxwell	Des McAnuff	Stratford Festival	Festival Theatre (Canada)	female	none	yes	
1935-12-14T00:00:00	1969-01-01T00:00:00	Lady Macbeth	Barbara Leigh Hunt	John David	unknown production company	Bristol Old Vic	female	none	yes	
1867-10-27T00:00:00	1916-02-07T00:00:00	Lady Macbeth	Viola Allen	director unknown	unknown production company	Criterion Theatre	female	none	yes	
1883-01-10T00:00:00	1928-11-19T00:00:00	Lady Macbeth	Florence Reed	Douglas Ross	George C. Tyler	Knickerbocker Theatre	female	none	yes	
1892-10-15T00:00:00	1938-04-11T00:00:00	Lady Macbeth	Phyllis Neilson-Terry	B Iden Payne	Royal Shakespeare Company	Shakespeare Memorial Theatre, Stratford-upon-Avon	female	none	yes	
1972-09-24T00:00:00	2008-04-08T00:00:00	Lady Macbeth	Kate Fleetwood	Rupert Goold	Duncan C. Weldon, Paul Elliott, Jeffrey Archer, Bill Ballard, Terri & Timothy Childs, Rodger Hess, David Mirvish, Adriana Mnuchin, Emanuel Azenberg and BAM	Lyceum Theatre	female	none	yes	
1880-03-03T00:00:00	1915-02-01T00:00:00	Lady Macbeth	Florence Auer	director unknown	William A. Brady and Robert B. Mantell Repertoire	44th Street Theatre	female	none	yes	
1946-10-26T00:00:00	1981-01-22T00:00:00	Lady Macbeth	Maureen Anderman	Sarah Caldwell	Lincoln Center Theater Company	Vivian Beaumont Theatre	female	none	yes	
1888-09-08T00:00:00	1917-04-16T00:00:00	Lady Macbeth	Genevieve Hamper	director unknown	Robert B. Mantell Repertoire	44th Street Theatre	unknown	none	yes	
no birthday on article	2015-05-20T00:00:00	Lady Macbeth / First Witch	Jennifer Ikeda	Edward Torres	The Public Theater	Joseph Papp Public Theater/Susan Stein Shiva Theater	female	none	yes	
1896-08-05T00:00:00	1924-03-15T00:00:00	Lady Macbeth	Clare Eames	director unknown	The Equity Players, Inc.	48th Street Theatre	female	none	yes	
1951-06-18T00:00:00	1984-11-24T00:00:00	Lady Macbeth	Michelle Newell	director unknown	Chester Gateway Co.	Chester Gateway Theatre	female	none	yes	
1865-08-17T00:00:00	1913-09-22T00:00:00	Lady Macbeth	Julia Marlowe	director unknown	Sothern & Marlowe Repertory	Manhattan Opera House	female	none	yes	
1888-12-18T00:00:00	1935-10-07T00:00:00	Lady Macbeth	Gladys Cooper	director unknown	Crosby Gaige	Ethel Barrymore Theatre	female	none	yes	
no birthday on article	2011-03-20T00:00:00	Lady Macbeth	Annika Boras	Arin Arbus	Theatre for a New Audience	The Duke on 42nd Street	female	none	yes	
1913-07-23T00:00:00	1956-10-29T00:00:00	Lady Macbeth	Coral Browne	Michael Benthall	Old Vic Trust, Ltd. and Arts Council of Great Britain	Winter Garden Theatre	female	none	yes	
1958-04-20T00:00:00	1989-12-19T00:00:00	Lady Macbeth	Melinda Mullins	Richard Jordan	Joseph Papp	Joseph Papp Public Theater/Anspacher Theater	female	none	yes	
1952-08-10T00:00:00	2000-06-15T00:00:00	Lady Macbeth	Diane Venora	Terry Hands	SFX Theatrical Group and Emanuel Azenberg	Music Box Theatre	female	none	yes	
1887-09-28T00:00:00	1918-12-07T00:00:00	Lady Macbeth	Gilda Varesi	director unknown	unknown production company	Plymouth Theatre	female	none	yes	
1945-04-12T00:00:00	1974-04-13T00:00:00	Lady Macbeth	Laura Esterman	Edward Berkeley	New York Shakespeare Festival Lincoln Center	Mitzi E. Newhouse Theater	female	none	yes	
1958-08-16T00:00:00	1998-03-15T00:00:00	Lady Macbeth	Angela Bassett	George C. Wolfe	The Public Theater	Joseph Papp Public Theater/Martinson Theater	female	Black,Black	yes	
1930-11-04T00:00:00	1962-06-18T00:00:00	Lady Macbeth	Kate Reid	Peter Coe	Stratford Festival	Festival Theatre (Canada)	female	none	yes	
1936-05-09T00:00:00	1988-04-21T00:00:00	Lady Macbeth	Glenda Jackson	director unknown	Barry & Fran Weissler and Garth H. Drabinsky	Mark Hellinger Theatre	female	none	yes	
1969-11-27T00:00:00	1999-03-18T00:00:00	Lady Macbeth	Elizabeth Marvel	Ron Daniels	Theatre for a New Audience	American Place Theatre	female	none	yes	
1949-01-23T00:00:00	1986-03-21T00:00:00	Lady Macbeth	Francesca James	Porter Van Zandt	The York Theatre Company	Parish Hall at the Church of Heavenly Rest	female	none	yes	
1938-02-17T00:00:00	1999-06-03T00:00:00	Lady Macbeth	Martha Henry	Diana Leblanc	Stratford Festival	Tom Patterson Theatre (Canada)	female	none	yes	American
1900-01-30T00:00:00	1930-01-01T00:00:00	Lady Macbeth	Martita Hunt	Harcourt Williams	Old Vic Co.	Old Vic, London	female	none	yes	English
1948-02-18T00:00:00	1987-02-28T00:00:00	Lady Macbeth	Sinead Cusack	Adrian Noble	Royal Shakespeare Company	Tyne Theatre, Newcastle-upon-Tyne	female	none	yes	English
no birthday on article	2005-08-31T00:00:00	Lady Macbeth	Kelly Mcgillis	Michael Kahn	Shakespeare Theatre Company	Lansburgh Theatre	female	none	yes	English,Scottish,German,Irish
1963-03-11T00:00:00	2014-06-22T00:00:00	Lady Macbeth	Alex Kingston	Kenneth Branagh	unknown production company	Park Avenue Armory Drill Hall, New York	female	none	yes	German,Jewish
1969-12-29T00:00:00	2006-06-14T00:00:00	Lady Macbeth	Jennifer Ehle	Moises Kaufman	unknown production company	Delacorte Theater	female	none	yes	German,Romanian,English
1968-06-20T00:00:00	2013-01-01T00:00:00	Lady Macbeth	Samantha Spiro	Eve Best	Shakespeare's Globe	Shakespeare's Globe	female	none	yes	German-Jewish
1968-10-02T00:00:00	1995-01-01T00:00:00	Lady Macbeth	Lucy Cohu	Bill Alexander	Birmingham Repertory Co.	Birmingham Repertory Theatre	female	none	yes	Greek
1981-04-09T00:00:00	1977-01-01T00:00:00	Lady Macbeth/ Witch	Angelique Rockas	David Smith	The Company	Tramshed	female	none	yes	Greek
1934-12-09T00:00:00	1977-04-12T00:00:00	Lady Macbeth	Judi Dench	Trevor Nunn	Royal Shakespeare Company	Royal Shakespeare Theatre, Stratford-upon-Avon	female	none	yes	Irish
1984-04-16T00:00:00	2013-04-27T00:00:00	Lady Macbeth	Claire Foy	Jamie Lloyd	unknown production company	Trafalgar Studios at the Whitehall Theatre, London	female	none	yes	Irish
1950-02-22T00:00:00	1985-01-01T00:00:00	Lady Macbeth	Julie Walters	The People Show	The People Show	Leicester Haymarket	female	none	yes	Irish
1970-10-08T00:00:00	2018-02-26T00:00:00	Lady Macbeth	Anne-Marie Duff	Rufus Norris	National Theatre	Olivier Theatre	female	none	yes	Irish,Irish
1970-10-08T00:00:00	2013-11-21T00:00:00	Lady Macbeth	Anne-Marie Duff	Jack O'Brien	Lincoln Center Theater	Vivian Beaumont Theatre	female	none	yes	Irish,Irish
1927-02-16T00:00:00	1958-03-15T00:00:00	Lady Macbeth	June Brown	Bernard Hepton	unknown production company	Birmingham Repertory Theatre	female	none	yes	Irish,Scottish,Jewish,Algerian,Italian,Italian
no birthday on article	1987-09-19T00:00:00	Lady Macbeth	Leslee Udwin	Declan Donnellan	Cheek By Jowl	Theatre Royal, York – Tour	female	none	yes	Israeli
1947-09-30T00:00:00	1996-01-01T00:00:00	Lady Macbeth	Rula Lenska	director unknown	unknown production company	Stafford Castle	female	none	yes	Polish
1921-03-25T00:00:00	1966-01-01T00:00:00	Lady Macbeth	Simone Signoret	William Gaskill	The English Stage Company	Royal Court Theatre, London	female	none	yes	Polish-Jewish
1945-07-26T00:00:00	1975-03-04T00:00:00	Lady Macbeth	Helen Mirren	Trevor Nunn	Royal Shakespeare Company	Aldwych Theatre, London	female	none	yes	Russian
1944-05-12T00:00:00	1983-03-08T00:00:00	Lady Macbeth	Sara Kestelman	Howard Davies	Royal Shakespeare Company	Theatre Royal, Newcastle-upon-Tyne	female	none	yes	Russian-Jewish
1897-02-10T00:00:00	1937-01-01T00:00:00	Lady Macbeth	Judith Anderson	Michel St Denis	unknown production company	Old Vic, London	female	none	yes	Scottish
1897-02-10T00:00:00	1941-11-11T00:00:00	Lady Macbeth	Judith Anderson	director unknown	Maurice Evans and Judith Anderson	National Theatre	female	none	yes	Scottish
1934-12-28T00:00:00	1978-06-07T00:00:00	Lady Macbeth	Maggie Smith	Robin Phillips	Stratford Festival	Festival Theatre (Canada)	female	none	yes	Scottish
1902-03-28T00:00:00	1948-03-31T00:00:00	Lady Macbeth	Flora Robson	director unknown	The Theatre Guild	National Theatre	female	none	yes	Scottish
1891-01-25T00:00:00	1942-07-08T00:00:00	Lady Macbeth	Gwen Ffrangcon-Davies	John Gielgud	unknown production company	Piccadilly Theatre, London	female	none	yes	Welsh
1869-05-03T00:00:00	1921-02-17T00:00:00	Lady Macbeth	Julia Arthur	Arthur Hopkins	Arthur Hopkins	Apollo Theatre	female	none	yes	Welsh
